Version,MA_8_F_1_2_graph,MA_8_F_1_1,MA_8_F_1_2_equation,MA_8_F_1_2_table
A,A,A,A,B
B,A,A,B,B
C,A,A,B,B
D,A,A,A,B
E,A,B,B,B
F,B,B,B,B
G,B,B,B,A
H,A,B,B,A
I,A,B,A,B
J,B,B,A,B
K,A,A,A,B
L,A,A,A,B
M,A,A,B,B
N,A,B,A,B
O,A,A,A,B
P,A,A,A,B
Q,B,A,B,B
R,B,B,A,A
S,A,B,A,A
T,B,A,B,B
U,B,B,A,B
V,A,A,A,B
W,A,A,B,B
X,A,A,A,B
Y,A,A,A,B
,,,,
